video_id,account,publish_date,publish_time,topic_category,topic_angle,format,hook_text,hook_model,duration_seconds,word_count,views,retention_5s,completion_rate,like_count,comment_count,share_count,favorite_count,like_rate,share_rate,performance_tier,pillars_used,is_repeat,has_script,script_text,video_url,video_title,is_hidden,notes
377,米娅抖音,2025-04-01,,权益加班,催你下班,口播,你见过催你下班的护士长吗 我见过而且 我的护士长 每天都催着我下班 因为我加班 可能她就违法了哦 我在德国杜赛做护士,A_反常识,62,326,26,42.86,14.29,0,0,0,,,,D,"P2,P4,P11",FALSE,TRUE,"你见过催你下班的护士长吗
我见过而且
我的护士长
每天都催着我下班
因为我加班
可能她就违法了哦
我在德国杜赛做护士
每天工作7.7小时
中间休息 30分钟
这30分钟
自己想干什么就干什么
没人管你
我每周工作时长是38.5个小时
护士的工作时间
在德国是有严格法律规定的
超出合同规定时间补钱补休
严重影响到护士休息的
医院
可龙直接要面临处罚了
所以一到时间
护士长就上线催下班了
快走快走
下班了剩下的活
交给我们下一班的就行了
除了催下班
还要催休假
德国企业员工
每年至少有26天年假
但只给护士26天年假
根本招不到人
护士的年假一般都在30天起
而且我们每上够10个夜班
还为多一天的年假
所以科室20多个护士
每个人都有30多天的假期
今年没休完的年假
来年的4月份之前
必须要休完
一到年底
护士长就催着我们
赶紧把自己剩下的年假休掉
不休都不行
早休完他也能早省心",https://www.douyin.com/share/video/7488151638025293091/?mid=7488151744237587219,你有这样的护士长 你几点下班#护士长 #护士 #护士懂护士 #德国护士,否,
378,米娅抖音,2025-04-02,,权益加班,德国护士可以卡点下班,口播,德国护士可以卡点下班 可以提前下班 但绝对不能无故加班 我在德国医院心内科做护士 我们医院 合同规定的工作时间,其他,44,237,25,46.43,14.29,0,0,1,,,4.0,D,P4,FALSE,TRUE,"德国护士可以卡点下班
可以提前下班
但绝对不能无故加班
我在德国医院心内科做护士
我们医院
合同规定的工作时间
是每周38.5个小时
平均下来
每天的工作时间是7.7个小时
接班换衣服
都算在了工作时间里
不仅如此
护士每连续工作4个小时
就要被强制休息30分钟
差一分都不行
这半个小时可以吃饭
可以坐在休息室聊天
也可以瞎溜达
但是就是不应该工作
每到这个时候
护士长总会劝着我们
放下手头工作
及时行乐
护是因为必要的原因
产生的加班
比如科室人手不足
超负荷工作
医院也要给我们补休
或者是补钱
都要算作工作时长
我们打工人
绝对不给医院打免费的工",https://www.douyin.com/share/video/7488651089005350144/?mid=7488652077372164890,护士必须休息！强制休息！#德国护士 #护士工作 #护士懂护士 #护士出国,否,
379,米娅抖音,2025-04-05,,夜班,假如护士都这样一下班,口播,假如护士都这样 一下班到点就走 不看手机 不回短信 德国护士上班和下班 真的分得很清 每周工作38-40个小时,B_数字冲击,46,231,36,31.71,7.32,0,0,0,,,,D,"P3,P7,P12",FALSE,TRUE,"假如护士都这样
一下班到点就走
不看手机
不回短信
德国护士上班和下班
真的分得很清
每周工作38-40个小时
不加免费的班
超出规定工作时间
医院还会被罚钱
没有随时待命
没有无偿备班
二夜班想上就上
不想上就拒绝
德国护士的夜班
其实是很抢手的
我们医院夜班10个小时
补贴是每个夜班40欧
上一个夜班
我龙夜班补助拿到手300多块
如果你不想上夜班
只需要提前和护士长申请
就可以了
不想上就拒绝安排
三病假不扣工资
医院还返给钱
德国护士有6周的带薪病假
6周内不但不扣钱
很多医院还会额外给补贴
上次请了4天假
工资照拿
还额外发了53欧的病假补贴",https://www.douyin.com/share/video/7489713279309286693/?mid=7489713171419138854,假如护士都这样#护士懂护士 #德国护士 #护士 #护士日常,否,
380,米娅抖音,2025-04-06,,工资收入,为啥互换关系如此和谐,口播,为啥互换关系如此和谐嘞 我觉得离不开这两点原因 第一德国的免费医疗政策 大大降低了病人看病的压力 大到手术移植,其他,47,237,36,41.03,17.95,0,0,0,,,,D,P21,FALSE,TRUE,"为啥互换关系如此和谐嘞
我觉得离不开这两点原因
第一德国的免费医疗政策
大大降低了病人看病的压力
大到手术移植
小到感冒发烧
根本不会出现
看不起病的患者
病人看病或者住院结束后
接走就可以了
公保病人
只需要承担
每天10欧的住院费用
私保病人就得自己拿着账单
去找保险公司报销了
第二
就是德国住院没有家属陪床
病人的衣食住行
都交由护士来照顾
有专门的送餐阿姨
把一日三餐送到病房
四保病人
还有医院安排的专属下午茶
小蛋糕住院的每位病人
都可以说是VIP级别的待遇
了造就互换关系和谐的
从来都不是单方面的付出
而是双方的互相体谅",https://www.douyin.com/share/video/7489713913244781851/?mid=7489713848505649971,怎么保持良好的护患关系#护患关系 #护患关系天花板 #护士懂护士 #德国护士,否,
381,米娅抖音,2025-04-08,,权益加班,我在心内科科室一共2,口播,我在心内科 科室一共28张病床都住满了 有很多加塞的手术和检查 药房把所有住院病人 到周一的口服药都送过来了,其他,51,280,36,20.0,12.5,0,0,0,,,,D,P1,FALSE,TRUE,"我在心内科
科室一共28张病床都住满了
有很多加塞的手术和检查
药房把所有住院病人
到周一的口服药都送过来了
我的工作习惯是
干完活再踏实休息
护士长看到我
半天都不去厨房休息
就跑到值班室过来问我米亚
你怎么还在忙呀
快点过来休息呀
你不休我还得想着
等会给你算加班工时
还得给你补休
他就直接把我踹到厨房
叫我赶紧跟他一起休息
德国有相关的护理职业法
规定
护士连续工作超过4个小时
必须要强制休息30分钟
护长这么着急催我
不是我们俩玩的有多好
而是我不休息
是在给他添麻烦
我们按照时薪计算工资
任何超过规定工作时间的
工时都会有相应的报酬
如果医院没有及时的补偿
那医院就属于违法了
在德国对护士的保护
远大于对医院的保护",https://www.douyin.com/share/video/7490880128159976744/?mid=7490880882455218981,又是被护士长严格计时休息的一天#德国护士 #护士懂护士 #护士工作 #护士,否,
382,米娅抖音,2025-04-09,,夜班,一个月15个夜班全是,口播,一个月15个夜班 全是夜班 最长连续上8个 你能接受吗 我在德国医院的心内科 做护士每个月月初 护士长都会问我们,其他,81,451,154,57.74,6.55,0,0,0,,,,D,"P3,P7",FALSE,TRUE,"一个月15个夜班
全是夜班
最长连续上8个
你能接受吗
我在德国医院的心内科
做护士每个月月初
护士长都会问我们
下个月的计划
有没有想要休息的时间
月中护士长就会把排好的
下个月排班表
张贴出来
这是我这个月的排班表
除了最后一天是晚班
剩下的时间都是夜班
和休息时间连上
连休这么多
夜班是属于我和护士长的
双向奔赴
我2月份的时候
看到我3月份没有夜班
然后就向护士长撒了下娇
问她能不能给我多排点夜班
护士长就给我4月份
全是夜班
我们科室的年轻同事
个不说一下哇
咪呀我很羡慕你啊
我们医院夜班10个小时
300块的夜班费
算上我的时薪
一宿下来能赚2,000块钱吧
不用定时巡视
也不给病人安排手术
检查配液备药发药
就是一晚上的主要工作
在病人不安宁
没有收新病人的情况下
溜达个两三次
就可以等待早班交班了
遇到需要抢救的突发情况
也不用担心
德国每个医院
都配备专门的抢救小组
科室护士会根据病人情况
做出相应的抢救措施
同时通知抢救小组
相比早班和下午班
夜班是妥妥的活少钱多
导致我们科室的人
都抢着上夜班
也不排除
有不想上夜班的同事
直接和护士长申请就可以了
不过我还是挺喜欢的
虽然一个夜班时间长
但是清净
赚的也比较多",https://www.douyin.com/share/video/7491253167422835983/?mid=7491253891188083468,一个月都是夜班！15个夜班！最多连着上8天！这把稳了！#德国护士 #护士懂护士 #护士夜班 #护士排班 #夜班费,否,
383,米娅抖音,2025-04-14,,权益加班,作为护士想上什么班就,口播,作为护士 想上什么班就上什么班 想休息就休息是种什么体验 4月份我上15个夜班休息14天,其他,78,435,44,29.79,4.26,0,0,0,,,,D,"P11,P23",FALSE,TRUE,"作为护士
想上什么班就上什么班
想休息就休息是种什么体验
4月份我上15个夜班休息14天
5月份我上5天班就能连休20天
德国护士这上班模式
指定有点什么说法
其实和国内一样
都是三班倒
不同的是
每个月中
我们护士长
都会把下一个月的排班表
张贴出来
护士们
如果有什么想要休息的时间
提前和护士长说
不然护士长就是一周晚班
一周早班的这样有规律的排
我们是每两个周末
有一次固定的休息
其他时间由护士长给我们排
轮休不想上夜班的
也可以跟护士长说
让护士长不给你安排夜班
你这个月想多休息
那就多休息
只要下个月
把工时补回来就行
我下个月
打算和同事去巴厘岛玩
所以
除了计划以内的10天年假
我还让护士长给我排
休了10天
在德国每位护士
都有
至少30天工作日的带薪年假
自己可以随意安排
你可以选择
每两个月休一个星期
也可以一口气直接休完
休息期间
不会接到任何的工作电话
也不会被临时叫去替班
更不会让你回去开会考试
在德国做护士8年了
和我在国内做护士时
有什么不同呢
终于能把工作和生活分开了
也是我
终于能真正的感受生活
和自由了
感觉累了就好好休息
工作嘛就是为了我出去玩
赚钱的工具而已",https://www.douyin.com/share/video/7493040114227006729/?mid=7493040215259433737,护士这份工作 护士本人是最大的主导者#护士懂护士 #当护士需要注意什么 #德国护士 #德国护理,否,
384,米娅抖音,2025-04-15,,夜班,你肯定想不到在德国护,口播,你肯定想不到 在德国护士是人少岗位多 医院大量开放招护士 但来做护士的却很少 目前德国护士的缺口 已经达到了数十万人,其他,79,380,49,43.64,7.27,0,0,1,,,2.04,D,"P20,P21,P22,P27,P28",FALSE,TRUE,"你肯定想不到
在德国护士是人少岗位多
医院大量开放招护士
但来做护士的却很少
目前德国护士的缺口
已经达到了数十万人
德国护士不拼学历
中专本科都可以
也没有3050的年龄危机
考到护士证永久有效
没有考试检查开会评比
8小时工作制
最低工资也有3,000多欧
和2万多人民币
但做护士的人依然很少
主要有两大方面的原因
首先是护士工作本身太辛苦
德国医院没有家属陪床
也很少有护工
所以病人除了护理治疗外
吃喝拉撒
大事小情都需要护士来帮忙
护士带夜班
是违反人体的生物钟
我们经常调侃的一句话就是
护士是用命在挣钱
相反
德国的基础福利太好了
大多数工作
都能挣到两三千欧的工资
所有职业
都有二三十天的带薪年假
每周40小时工作制
甚至
很多企业都在提倡居家办公
不是必须到公司打卡
外加免费医疗免费教育
没有未知风险需要抵御
更让他们没有理由
去选择做护士了
现在德国人口老龄化严重
老护士要退休
新护士跟不上
所以德国
只能在不断的提高护士待遇
来吸引更多的外国护士",https://www.douyin.com/share/video/7493477863702695195/?mid=7493478227600493362,老护士要退休，新护士跟不上#德国护士 #护士懂护士 #护士退休 #护士,否,
385,米娅抖音,2025-04-16,,权益加班,我在德国医院心内科做,口播,我在德国医院心内科做护士 全日制中专含收 大专毕业 每个月到手2到3万 和国内大三甲护士 收入应该差不多,B_数字冲击,67,334,82,39.58,13.54,3,0,0,,3.66,,D,"P4,P20,P22,P28",FALSE,TRUE,"我在德国医院心内科做护士
全日制中专含收
大专毕业
每个月到手2到3万
和国内大三甲护士
收入应该差不多
但工作内容有很大的差异
我每周工作38.5个小时
平均每天是7.7个小时
上什么班
上不上夜班
都可以提前跟护士长申请
我们科室夜班根本抢不到
我3月份一个夜班都没有
和护士长理论了半天
才要到了4月份的夜班
另外
科室互换比也有严格的规定
我们科室只有28个病床
不能加床
德国医院心脏科
只要超过20张病床
就必须要有两个有证的护士
上夜班
不然医院就会面临罚款
所以
我们经常没有人手的时候
就锁病床
打针输血都是医生的活
护士只管准备合欢液
不过在德国
打点滴并不是很多
护士跑夜多数只有几瓶
没有床旁交班
每次加班
大家都在休息室里排排坐
共享是茶话会
护理记录
今年4月份
我们改成了电子的
人设一个大iPad
没有考试检查
我们医院也不用打卡
所以大家一般都是卡点来
到点就撤",https://www.douyin.com/share/video/7493849148161035530/?mid=7493849533512715018,"#海外护士 #工作vlog #我爱上班 #德国护士 #护士懂护士 
专科护士在德国",否,
386,米娅抖音,2025-04-19,,权益加班,我在德国一家医院的心,口播,我在德国一家医院的心内科 做护士医院全职护士 法定工作的时长是38.5个小时 超出时间就必须休息 如果有避免不掉的加班,B_数字冲击,66,287,78,38.89,12.22,0,0,0,,,,D,"P4,P14",FALSE,TRUE,"我在德国一家医院的心内科
做护士医院全职护士
法定工作的时长是38.5个小时
超出时间就必须休息
如果有避免不掉的加班
我们医院是必须要在6周内
补休或者是补钱给他清掉
医院不敢不给我们补偿
否则就属于违反劳动法了
可能会被面临罚钱
不是护士想休假
而是护士有假不休都不行
这也是造成了在德国做护士
你想挣大钱根本不可能
一个全职新护士的起薪
是3,304.69欧
合人民币是25,800点 7元
当然我们可以在下班时间
额外做MINI job
也就是兼职
没有工作地点的限制
一个月大概上两到三天
收入就能达到520欧
不用纳税
但是一旦超过520欧了
那你又得交税
而且这个税还比较高
让你工作的得不偿失
所以啊你想多工作
一是医院领导不会同意
二是劳动法也不会同意
想加班多干活
要么违法
要么上大额个税",https://www.douyin.com/share/video/7494949360287993125/?mid=7494949941236779786,想发财的护士就绕过德国吧哈哈哈#德国护士 #护士懂护士 #护士赴德 #护士,否,
