video_id,account,publish_date,publish_time,topic_category,topic_angle,format,hook_text,hook_model,duration_seconds,word_count,views,retention_5s,completion_rate,like_count,comment_count,share_count,favorite_count,like_rate,share_rate,performance_tier,pillars_used,is_repeat,has_script,script_text,video_url,video_title,is_hidden,notes
560,视频号官号,2025-11-19,,夜班,中国护士通过什么路径,口播,中国护士通过什么路径 能来德国做护士 来了之后后不后悔 能不能适应 我在法兰克福 采访了我们的海丽学员,其他,74,629,1416,,25.85,26,1,42,,1.84,2.97,D,"P11,P20,P22",FALSE,TRUE,"中国护士通过什么路径
能来德国做护士
来了之后后不后悔
能不能适应
我在法兰克福
采访了我们的海丽学员
和我一样初试学历
中专的曲同学
我我叫曲艺
是中专毕业的
沙特工作了两年
两年回来之后
进了一个上海的医院
完全可以负担生活
我觉得没有什么问题
也可以存一点吗
可以存一点
没有什么太大的压力
而且
我每个月还要给我妈打钱
我是指非常能吃的人啊
这点钱全都花在嘴上了
在德国
我在即使这么能吃的情况下
乱买的情况下
也还可以攒下一点钱
主要就是说30天年假
我觉得这
简直就是
最吸引我的一个地方了
不用开会
不用考试
不用业务学习
德国的一个启动资金
是一个
所有人可以接受的范围
我们科室是24张病床
我们早班
我们早班有6个人上班
下午班三四个
三四个夜班是两个人吗
夜班两个人
对我马上就休假了
这个月月末休假
休到12月末休一个月
对我们会长
把休息也给我排起了
那你也回去吧
回国嗯
我已经买好机票了
回家让妈妈看
我至少是个活生生的人
站在她面前
还放放心嘛
知道我在国外过得好不好啊
回来了之后呢
看你直播是吗
对了解了这个项目
我觉得挺好的
当时也去听了几届德语课
看我能不能真正的就听进去
这个语言
毕竟老师讲的非常好
别人能听得进去
我也去了解了很多
这方面的知识
我关心的其实就这几样
假期福利
呃工资
工时工时对
然后下就说
这个中介靠不靠谱
有没有国家的一些证件
他都给我看了
觉得这就可以了
已经得到了
我想要一切的方向吧
然后跟老师商量一下
开班的时间
大概就这样愉快的就开始了
脚踏实地
一步一个脚印
不要抱太大的压力吧
人过的还是要轻松一点
我觉得有一个清晰的目标
给给自己的未来定下基础
人都是有选择的",export/UzFfAgtgekIEAQAAAAAAmK4zpm9RgwAAAAstQy6ubaLX4KHWvLEZgBPEvKI0VjkaLMOOzNPgMJrqxVk2uFK9Z9I1aU1j430I,通过海狸成功赴德的曲同学，即使初始学历只有中专，也完成了从国内、到沙特、再到德国的“护士之路” 👍 #护士出国 #德国护士 #护士就业 #护士 #专科护士 #护士工作,,涨粉:6
561,视频号官号,2025-11-18,,休假病假,在德国做护士30天年,口播,在德国做护士 30天年假是标配 看我明年的年假 就排休了56天 全年12个月 德国护士 大概有一半的时间都在休假,B_数字冲击,33,255,652,,26.95,12,0,6,,1.84,0.92,D,P11,FALSE,TRUE,"在德国做护士
30天年假是标配
看我明年的年假
就排休了56天
全年12个月
德国护士
大概有一半的时间都在休假
我去年满打满算
有6个月都在休息
德国企业规定
每个员工
每年都有26天带薪年假
但护士的工作有特殊性
需要倒班上夜班
如果只给26天
就很难招到人了
一般都是30天
甚至有的医院规定
每上够几个夜班
再给护士一天年假
每年有三十五六天
是很正常的
至于年假怎么休
护士长会提前一年
就把年假许愿表贴出来
护士根据自己的计划往上写
于是
一次性连休30天还是多少天
护士长都不会管
因为他也没有权利
不允许护士休假
恰恰相反
如果护士一直拖着不休
护士长才会着急
这样的休假方式
大家觉得怎么样嘞",export/UzFfAgtgekIEAQAAAAAAG3oxMcCTYAAAAAstQy6ubaLX4KHWvLEZgBPEi6IoJz1uCsCOzNPgMJq3Or9aq_5KQMnCbHmMMlTr,德国护士30天年假是标配，我们科三班倒护士每年大概休50多天，属于特例了 #护士假期 #德国护士 #护士工作 #护士 #护士日常,,
562,视频号官号,2025-11-10,,权益加班,强制休息,口播,"护士没有不排斥夜班的 但自从我到了德国 才发现 原来夜班还可以这样安排 一只要你上夜班 就能怒赚2,000块",其他,51,417,674,,23.7,14,2,16,,2.08,2.37,D,P9,FALSE,TRUE,"护士没有不排斥夜班的
但自从我到了德国
才发现
原来夜班还可以这样安排
一只要你上夜班
就能怒赚2,000块
从晚上8点半到早上6点半
加上中间强制休息45分钟
一共是10个小时
一个夜班下来
底薪加补贴能赚200多欧
也就是2,000块
就算是你是新入职的护士
能赚到第二
不用到病房里去扫PDA
如果病人病情稳定
那就让他们好好睡觉
确保病人在病床上
没有跑出科室
工作就算到位了
不用
每小时两个小时的去巡视
一次一般10个小时
我们最多巡视3趟
第三夜班连上
但是连休也到位
夜班的排班
基本上都是大上大休
这次我是连上5个夜班
然后再连休6天
不会说下夜班之后
立马安排白班
必须要保证
护士有充足的休息时间
而且下夜班
不用去参加各种的开会
考试业务培训等等
第四没有夜查房
不用被叫班
早班的护士
6点钟就过来接班了
我们夜班是6点半下班
中间的半个小时用来交接班
不紧不慢
喝着咖啡
吃着东西
看着交班纸
把病人情况说清楚就OK
如果这样的夜班
你还是不想上
那就申请不上
所有人都会尊重你的选择
护士长也不会区别对待你
因为上什么班
是我们自己的权利
你在入职的时候就可以说
我只愿意两班倒",export/UzFfAgtgekIEAQAAAAAAFU4VRsGkBQAAAAstQy6ubaLX4KHWvLEZgBPEvKIoHF1ff_6OzNPgMJozFWT94aYj5767IwNiFmjW,护士没有不讨厌夜班的，但如果这样安排，你会愿意上夜班不？#夜班护士 #德国护士 #护士工作 #护士 #护士懂护士,,涨粉:1
563,视频号官号,2025-11-10,,夜班,我真的不理解为什么一,口播,我真的不理解 为什么一提到卧床 病人出现压疮 大家第一个想到的就是 我们护士 护理不到位 就问谁不想病人好好的,其他,58,469,662,,21.18,10,0,5,,1.51,0.76,D,,FALSE,TRUE,"我真的不理解
为什么一提到卧床
病人出现压疮
大家第一个想到的就是
我们护士
护理不到位
就问谁不想病人好好的
谁愿意病人出现压疮呢
可你想啊
长期卧床的病人出现压疮
就像咱们喝水会呛着
吃饭会噎着一样
它是风险
但不是错误
我以前哈也觉得这是常态
但直到我来到了德国
这边普通病房的护士
根本不会每半个小时
或者一个小时去给病人翻身
拍背一开始哈
我还特担心
这样病人不会发生压疮吗
但结果几乎是很少发生
不是说德国护士是超人
而是制度科学
这边有各种防压疮的耗材
自动翻身的床
这些设备不仅保护病人
也减轻了临床护士的工作量
这边分科护理
每个护士
都只负责自己专业领域
里面的病人
工作更专注
也更轻松
在德国
只要护士在规定时间内
巡视到位
记录完整
病人如果发生压疮
那是概率事件
不会要你这个护士负责任
前两个夜班
我不是被借调
到楼下科室去上班了吗
他们科有一个病人
拒绝护士翻身
都已经是压疮二期
一直在流血
但是这个病人
就是拒绝我们护士给他翻身
那我们能怎么办呢
对吧就写好护理记录
是提供了翻身
但是病人他自己拒绝了
真正科学的护理体系
不是让咱护士疲于奔命
而是让我们有力量
有时间去做更有价值的照护
各位护理同行们
你们是怎么觉得呢",export/UzFfAgtgekIEAQAAAAAAeiM1UW5fLQAAAAstQy6ubaLX4KHWvLEZgBPE2qd0WXI3IP-OzNPgMJq9uH29nZFrBNiHpCogbxVu,一直不理解，病人出现压疮这种寻常的事，为什么要怪护士护理不到位呢？#护理不良事件 #德国护士 #护士日常 #护士 #护士工作,,涨粉:1
564,视频号官号,2025-11-09,,其他,在德国医院上班碰到的,口播,在德国医院上班 碰到的一件小事情 让我明白了 什么叫做相依为命 我们科里有一位呃 老年痴待的女病人 连续两天,其他,72,547,452,,15.93,7,1,1,,1.55,0.22,D,,FALSE,TRUE,"在德国医院上班
碰到的一件小事情
让我明白了
什么叫做相依为命
我们科里有一位呃
老年痴待的女病人
连续两天
我们没有办法联系到
她的联系人
她的管床医生
就是上午打她老公电话哎
没人接下午打她老公电话
还是没人接
后面
又给她的家庭医生打了电话
但是家庭医生那边
也只有一位紧急联系人
就是她的老公
结果到了第二天
还是联系不上管床医生
最后实在是放心不下
打了警察的电话
警察上门后才发现
就是她老公
在浴室里面摔倒了
不知道已经躺了多久了
最后警察把她老公
送到了我们医院
当时我们科所有人知道后
都愣住了
有人红了眼眶
也有人叹气说哎
早知道
我们昨天就打警察电话了
这样
她老公还能早一点被人发现
这对老夫妻没有孩子
也没有其他亲人
两个人相依为伴
一个病倒
另一个就彻底失联
这个女病人还是老年痴呆的
不能自己做检查或者手术的
决定那一刻我突然想到
无论是在德国还是在中国
养老都不只是钱的问题
房子的问题
而是说老了以后
谁会在你摔倒的时候发现你
在德国有很多老人住养老院
或者接受上门服务
但是
也有很多像他们这样的夫妻
两个人互相为伴
互相照顾
在中国
我们习惯性的说养儿防老
可现在的年轻人
也都在外地在忙碌
有自己的工作与生活
谁又能真正的陪父母到老呢
有时候一通没有打通的电话
或者一次没
有敲开的门
就能决定一个人的命运
我是米亚
在德国做护士
临床上看多了这样的故事
我越来越想问一句
老了以后我们该靠谁",export/UzFfAgtgekIEAQAAAAAA89s0p-5ycwAAAAstQy6ubaLX4KHWvLEZgBPEuqIcCjR_Wv-OzNPgMJpaUiZkOT0Onrhm6h7ECRnr,从中专毕业到现在，做护士快10年了，今天有感而发... #护士工作 #德国护士 #护士日常 #护士懂护士 #护士,,
565,视频号官号,2025-11-09,,夜班,来国外做护士才发现纹,口播,来国外做护士才发现 纹花臂做美甲 戴首饰穿鼻钉的护士 简直太不稀奇了 穿护士鞋不是必须的 入职就没有发护士帽,其他,46,362,730,,18.19,12,1,11,,1.64,1.51,D,P23,FALSE,TRUE,"来国外做护士才发现
纹花臂做美甲
戴首饰穿鼻钉的护士
简直太不稀奇了
穿护士鞋不是必须的
入职就没有发护士帽
甚至有些护士
上班都不穿护士服
班上唱歌跳舞
夜班串科聊天
所有人都好像很佛系
我在德国8年多
除了双休和法定节假日
每年有30个工作日的
带薪年假
但实际上
护士长会让我们科
三班倒的护士
排50多天
护士排班可以许愿
想哪天休息提前安排
护士长会尊重护士的意愿
年假连休二三十天是常态
我们科一般是连着上连着休
下了夜班休个好几天
有充分的时间恢复精力
我在普通心内科
护士不用计费
不用计耗材
因为医疗是免费的
发烧感冒癌症手术
宫保病人住院一天就10欧
还包括了三顿饭
护士不用跑腿取药
科室线上下单
药房送药上门
专人专职
减少护士没必要的工作量
拿到德国护士证
没有两月一小考
三月一大考
更没有职称评比
晋升考试
护士证不用5年一注册
哪怕20年没做护士
也能继续找工作
这就让一大批的德国护士
佛系工作懒得没边了",export/UzFfAgtgekIEAQAAAAAAfaEH-m6emQAAAAstQy6ubaLX4KHWvLEZgBPE2acUPTMZPfyOzNPgMJq7yV2zZaalWq0ItvkGDtYV,德国护士上班到底有多佛系，来之前我是想象不到的 #护士日常 #德国护士 #护士 #护士懂护士 #护士工作,,
566,视频号官号,2025-11-07,,其他,老铁们我护士同事都差,口播,老铁们 我护士同事都差点出了大错 德国人脑子是真轴啊 这次要不是我发现呀 那真的后果不堪设想,其他,59,470,1164,,36.51,17,4,11,,1.46,0.95,D,,FALSE,TRUE,"老铁们
我护士同事都差点出了大错
德国人脑子是真轴啊
这次要不是我发现呀
那真的后果不堪设想
新开的一组是10%的玉化钠
10毫升加入100毫升的阿库瓦
第二天我上班的时候
无意间发现
我们桌子上准备液体那里
摆着一支20%的玉化钠
我当时心里就觉得不对
肯定有事
肯定出错误了
赶紧问同事
这谁准备的20%的鱼化钠呀
然后这个德国同事就说
我们没有10%的鱼化钠了
所以我来的20%的鱼化钠
等会冲5毫升就可以了
我当时听完之后
一个脑袋两个大
这不是数学题呀
就药物的浓度
不能靠体积一分为二呀
我思考了几秒
我就跟他说
我说那这样的想法是错误的
我给你举个例子
医生需要医生5%的葡萄糖
你没有你给医生500毫升
10%的葡萄糖代替
你觉得这样对吗
刚好
又有另外一位外国护士
走过来不是德国人哈
我们俩就问这个同事的
看法这个同事听完之后
头摇得像拨浪鼓
说不不不不
a你是错误的
米亚你是对的
那一刻我真的挺感慨的
不是说德国护士不好哈
但是在料理基础
浓度计算和配液安全
这些细节上
我们中国护士真的太扎实
太细心了
所以我想说
别太相信你们的上班搭子
无论在哪个国家
安全永远比信任更重要
如果说
你也想了解来德国当护士
或者
德国护士的真实日常工作
欢迎私信我
我在德国一线工作
分享最真实的故事和经验",export/UzFfAgtgekIEAQAAAAAA-twhldz53AAAAAstQy6ubaLX4KHWvLEZgBPEx6csVHJXVvKOzNPgMJpKJ2Z31-gU92MipbZbQQaF,护士家人们，你们有多信任你们的上班搭子？#护士日常 #医疗事故 #德国护士 #护士工作 #护士,,涨粉:1
567,视频号官号,2025-11-05,,夜班,现在是我连着上的第五,口播,"现在 是我连着上的第五个夜班 一个夜班底薪加补助 能有2,000多块钱 这一万多我就到手了 如果护士的夜班",B_数字冲击,52,394,1332,,24.17,16,5,17,,1.2,1.28,D,"P7,P20",FALSE,TRUE,"现在
是我连着上的第五个夜班
一个夜班底薪加补助
能有2,000多块钱
这一万多我就到手了
如果护士的夜班
基本上都是连上连休连轴转
像我的话
提前跟护士长说过
我的极限是7个夜班
所以护士长给我排夜班的话
最多一次性
也只会给我排7天
一个夜班的话是10个小时
中间休息45分钟
没有什么特殊的情况下的话
我们是巡视三次
这个不是我空口乱说的
可以给大家看一下
我们的护理措施
这个是代表夜班巡防的意思
然后22点一次
2点钟一次
5点钟一次
剩下的
就是检查一下病人的口服药
有新病人的话
摆一下新病人
明天的一个口服药
剩下的就是摆液体
早班的液体
中午的液体
下午的液体以及晚上的液体
在剩下的时间
就是我们的休息时间了
你可以就是睡觉呀
吃饭呀科室串门聊天呀
都是没有问题的
没有护士站
没有护士长跟护理部的查房
德国医院也没有摄像头
护士可以坐着站着
甚至躺着都没有人管
下了夜班
我们不用参加开会考试
业务学习这些乱七八糟的
下夜班
回到家就是好好的休息
姐妹们就说
这样的夜班
你可以一次性连着上几个嘞",export/UzFfAgtgekIEAQAAAAAAUYw2oxk26gAAAAstQy6ubaLX4KHWvLEZgBPE9KdcIDIaCPGOzNPgMJrxRO5U_C1xUVS4PdPfPzun,很久没有连上夜班了，5个大夜班结束，一万块到手啦 #夜班护士 #德国护士 #护士工作 #护士 #护士日常,,涨粉:1
568,视频号官号,2025-10-27,,休假病假,国内大专护士到德国工,口播,国内大专护士到德国工作 感受如何 学员分享 国内的护士跟德国的护士 差别还是比较大的 中国的护士 假期他是比较少的,其他,51,399,455,,20.88,5,0,8,,1.1,1.76,D,,FALSE,TRUE,"国内大专护士到德国工作
感受如何
学员分享
国内的护士跟德国的护士
差别还是比较大的
中国的护士
假期他是比较少的
甚至你是需要去参加考试啊
培训啊但是德国这边不会
你下了班就是下了班
不会有任何人给你打电话
德国护士
你最喜欢的一点是什么
在国内的话
大家肯定很担心
如果自己生病了
想请假怎么办
医院会不会不让啊
但是在德国不会的
你生病了就一定要请假
你没有休养好之前
你不要回来
因为你会把你的病气
传染给其他同事的
这同事之间也会不满意的
工资够花吗
认证前的护士工资不
会特别高
你的基本生活
他都是会有所保障的
如果说
是你经常自己做饭的话
那肯定你是会存到一笔钱
德国生活适应的怎么样
德国这边的话
我还是比较喜欢的
怎么说呢
就是比较适合养老吧
8月份的时候
我当时休了大概4-5天的假期
我和我老公一块
去了大概五六个城市旅游
当时是真的觉得哇塞
我真的是
来了一个特别的国家
想对海狸的护士伙伴
说些什么
希望你们的前途一片光明
希望你们的选择
不会让你们失望
我在德国等你们
我是佳佳",export/UzFfAgtgekIEAQAAAAAAH3Euit3NfwAAAAstQy6ubaLX4KHWvLEZgBPE8acka1crUeyOzNPgMJp5sdqkgbjmRmF9ctbKrEGL,赴德护士伙伴真实分享，初到德国感受怎么样，期待越来越多同学从海狸未来走向世界！#护士工作 #德国护士 #德国生活 #专科护士 #护士,,
569,视频号官号,2025-10-24,,护士证路径,海狸中国护士成功抵达,口播,海狸中国护士成功抵达德国 案例分享 hello大家好 我叫佳佳 来自于山东威海 今年25岁了 为什么选择了出国,其他,68,540,1372,,30.17,17,0,31,,1.24,2.26,D,,FALSE,TRUE,"海狸中国护士成功抵达德国
案例分享
hello大家好
我叫佳佳
来自于山东威海
今年25岁了
为什么选择了出国
中国的工作
压力还是比较大的
没有属于自己的休息时间
度假的时候
他们会通知我去开会呀
考试啊甚至说是训之类的
怎么了解到的
海狸未来辞职之后
我看到了啊海狸的广告
简单的了解了一下
当初我还没有说什么
销售就把他们
海狸所有的资料发给我
我当时就觉得
可能他真的就是值得相信
你觉得德语难不难
德语属于小语种
他当然很难
不要说是太担心
我这种
就是学习不算特别好的人
跟着海狸的老师学习
他们私底下
也会告诉我一些方法
海狸这边
还有一个很好的方面
就是他会有他的专属考场
这也是我很喜欢的
因为我之前当时预约了
南京的考场
结果我没有抢到
但是海狸这边
就可以直接预约到考场
海狸帮你对接了
什么样的医院
我是在德国排名前3
大私立医疗集团的
一所医院工作
然后
我一定要夸一下我的老师
我的老师真的对我非常非常
非常的好
他私底下也会去跟我沟通
就是你有没有哪里不会的
如果你有不会的
你一定要跟我说
然后我的领导
我的上级
甚至我的护理部主任
我的护士长
他们私下都会问我
你感觉怎么样
喜欢这个科室吗
有没有让你感到不悦的地方
你一定要及时跟我们沟通
其他的同事也对我非常的好
有什么东西缺少了
并且我找不到
我不知道在哪里购买
他们会跟我说
你不用担心
我家里有
我直接给你带过来
所以
这边我还是非常非常喜欢的",export/UzFfAgtgekIEAQAAAAAACRk5dByQqwAAAAstQy6ubaLX4KHWvLEZgBPEv6IYOhxmTOCOzNPgMJqY3b4dUymaFaVYTHTbJPTx,25岁大专护士佳佳，入职德国医院分享~现在已经和爱人在德国团聚啦✌🏼 #护士出国 #德国护士 #护士 #护士工作 #专科护士,,涨粉:9
