video_id,account,publish_date,publish_time,topic_category,topic_angle,format,hook_text,hook_model,duration_seconds,word_count,views,retention_5s,completion_rate,like_count,comment_count,share_count,favorite_count,like_rate,share_rate,performance_tier,pillars_used,is_repeat,has_script,script_text,video_url,video_title,is_hidden,notes
758,视频号小分队,2025-11-22,,—,—,—,,—,,,1266,,,5,1,3,,0.39,0.24,D,,FALSE,FALSE,,,,,涨粉:5; 无脚本无标题，分类需人工补充
759,视频号小分队,2025-11-21,,—,—,—,,—,,,1280,,,7,0,7,,0.55,0.55,D,,FALSE,FALSE,,,,,涨粉:2; 无脚本无标题，分类需人工补充
760,视频号小分队,2025-11-20,,—,—,—,,—,,,1228,,,2,0,9,,0.16,0.73,D,,FALSE,FALSE,,,,,涨粉:2; 无脚本无标题，分类需人工补充
761,视频号小分队,2025-11-19,,—,—,—,,—,,,1937,,,17,2,6,,0.88,0.31,D,,FALSE,FALSE,,,,,涨粉:6; 无脚本无标题，分类需人工补充
762,视频号小分队,2025-11-18,,—,—,—,,—,,,1599,,,2,0,13,,0.13,0.81,D,,FALSE,FALSE,,,,,涨粉:2; 无脚本无标题，分类需人工补充
763,视频号小分队,2025-11-17,,—,—,—,,—,,,1612,,,4,0,8,,0.25,0.5,D,,FALSE,FALSE,,,,,涨粉:5; 无脚本无标题，分类需人工补充
764,视频号小分队,2025-11-16,,—,—,—,,—,,,1643,,,3,1,10,,0.18,0.61,D,,FALSE,FALSE,,,,,涨粉:1; 无脚本无标题，分类需人工补充
765,视频号小分队,2025-11-15,,—,—,—,,—,,,3245,,,13,1,6,,0.4,0.18,D,,FALSE,FALSE,,,,,涨粉:3; 无脚本无标题，分类需人工补充
766,视频号小分队,2025-11-14,,—,—,—,,—,,,9912,,,35,7,43,,0.35,0.43,D,,FALSE,FALSE,,,,,涨粉:32; 无脚本无标题，分类需人工补充
767,视频号小分队,2025-11-13,,—,—,—,,—,,,4674,,,31,3,30,,0.66,0.64,D,,FALSE,FALSE,,,,,涨粉:16; 无脚本无标题，分类需人工补充
768,视频号小分队,2025-11-12,,—,—,—,,—,,,4731,,,16,0,21,,0.34,0.44,D,,FALSE,FALSE,,,,,涨粉:7; 无脚本无标题，分类需人工补充
769,视频号小分队,2025-11-11,,—,—,—,,—,,,4287,,,12,1,22,,0.28,0.51,D,,FALSE,FALSE,,,,,涨粉:12; 无脚本无标题，分类需人工补充
770,视频号小分队,2025-11-10,,—,—,—,,—,,,5158,,,32,1,39,,0.62,0.76,D,,FALSE,FALSE,,,,,涨粉:12; 无脚本无标题，分类需人工补充
771,视频号小分队,2025-11-09,,—,—,—,,—,,,4981,,,20,0,20,,0.4,0.4,D,,FALSE,FALSE,,,,,涨粉:8; 无脚本无标题，分类需人工补充
772,视频号小分队,2025-11-08,,—,—,—,,—,,,5111,,,18,0,31,,0.35,0.61,D,,FALSE,FALSE,,,,,涨粉:10; 无脚本无标题，分类需人工补充
773,视频号小分队,2025-11-07,,—,—,—,,—,,,10151,,,50,4,35,,0.49,0.34,C,,FALSE,FALSE,,,,,涨粉:28; 无脚本无标题，分类需人工补充
774,视频号小分队,2025-11-06,,—,—,—,,—,,,11123,,,45,4,33,,0.4,0.3,C,,FALSE,FALSE,,,,,涨粉:15; 无脚本无标题，分类需人工补充
775,视频号小分队,2025-11-05,,—,—,—,,—,,,14389,,,63,2,57,,0.44,0.4,C,,FALSE,FALSE,,,,,涨粉:18; 无脚本无标题，分类需人工补充
776,视频号小分队,2025-11-04,,—,—,—,,—,,,7326,,,33,2,32,,0.45,0.44,D,,FALSE,FALSE,,,,,涨粉:10; 无脚本无标题，分类需人工补充
777,视频号小分队,2025-11-03,,—,—,—,,—,,,4040,,,22,3,33,,0.54,0.82,D,,FALSE,FALSE,,,,,涨粉:3; 无脚本无标题，分类需人工补充
778,视频号小分队,2025-11-02,,—,—,—,,—,,,3172,,,9,2,3,,0.28,0.09,D,,FALSE,FALSE,,,,,涨粉:1; 无脚本无标题，分类需人工补充
779,视频号小分队,2025-11-01,,—,—,—,,—,,,4003,,,24,2,19,,0.6,0.47,D,,FALSE,FALSE,,,,,涨粉:9; 无脚本无标题，分类需人工补充
780,视频号小分队,2025-10-31,,—,—,—,,—,,,34110,,,125,5,65,,0.37,0.19,C,,FALSE,FALSE,,,,,涨粉:62; 无脚本无标题，分类需人工补充
781,视频号小分队,2025-10-30,,—,—,—,,—,,,135931,,,416,21,155,,0.31,0.11,A,,FALSE,FALSE,,,,,涨粉:118; 无脚本无标题，分类需人工补充
782,视频号小分队,2025-10-29,,—,—,—,,—,,,118701,,,711,34,359,,0.6,0.3,A,,FALSE,FALSE,,,,,涨粉:221; 无脚本无标题，分类需人工补充
783,视频号小分队,2025-10-28,,—,—,—,,—,,,245726,,,1479,68,737,,0.6,0.3,A,,FALSE,FALSE,,,,,涨粉:344; 无脚本无标题，分类需人工补充
