video_id,account,publish_date,topic_category,topic_angle,hook_text,script_text
1,抖音官号,2024-08-01,工资收入,今天看到一条很让我伤,今天 看到一条很让我伤心的消息 有一名护士跳湖自尽了 疑似是被职场霸凌 她才只有26岁 和我一样大 本该有大好的未来,"今天
看到一条很让我伤心的消息
有一名护士跳湖自尽了
疑似是被职场霸凌
她才只有26岁
和我一样大
本该有大好的未来
却被工作压垮了
其实压垮护士的
从来都不只是工作
而是工作中遇到的排挤
打压和不公平的对待
作为在国内经历过实习
以及工作的我
太能感受她面临的压力了
护士总是处在医院的底层
工资也分三六九等
拿最少的钱
干最苦最累的活
工作能力强的
比不过会来事的
不敢反抗也不敢辞职
即使自己不愿意干
后面还有一大堆的人等着干
有时候同一个医院
不同的科室
待遇都天差地别
就更别谈
让外行人感同身受了
当面对紧张的互换关系
压迫的规章制度
同事间的防备
和自己内心的压抑时
每一个
都可能成为压死骆驼的
最后一根稻草
做久了护士才知道
一个好的护士长
好的科室氛围
可以解决我们80%的心理压力
但职场中的王阿慧太多了
遇到同样情况的姐妹们
你们千万要记得
与其内耗自己
不如外耗别人
耗不过咱就跑
千万别回头
工作
真的只是生活的一小部分
别入戏太深
好好的爱自己"
2,抖音官号,2024-08-02,其他,医院里的每个规定验证,医院里的每个规定验证码 都是血的教训啊 今天有个病人在说 我们偷了他的裤子 是个老头子 住院有阵子了 没有亲戚朋友,"医院里的每个规定验证码
都是血的教训啊
今天有个病人在说
我们偷了他的裤子
是个老头子
住院有阵子了
没有亲戚朋友
腿脚也不太利索
有一天找到我的同事问能
不能帮他
把他的脏衣服
在医院的洗衣房里洗一下
我们医院的洗衣房
是不对病人开放的
但是我同事看他怪可怜的
就热心肠的给走了个后门
请洗衣房的人帮忙洗了
结果这老头今天出院的时候
非说自己丢了几条裤
说是洗衣房的人偷的
一条裤子两三百欧
让我们赔
同事们都大无语了
帮忙帮助错了
谁穷到
偷你一80多岁老头子的裤子
洗衣房也立马发出了通知
以后绝对不开这种后门
绝对不给病人洗衣服了
看似不近人情
实则都是血的教训"
4,抖音官号,2024-08-04,权益加班,今天被我们护士长说了,今天被我们护士长说了 他还直接把我推出了科室 原因竟然是说 我上班的时候不知道去休息 下班了还不着急走 我在心内科今,"今天被我们护士长说了
他还直接把我推出了科室
原因竟然是说
我上班的时候不知道去休息
下班了还不着急走
我在心内科今
天上晚班
科室一共28张病床都住满了
一共是4个护士上晚班
今天是周五
有很多加塞的手术和检查
药房把所有住院病人
到周一的口服药都送过来了
这样子
医生哪怕是改一个药
我们就得改3天的药
工作就翻倍了
我的工作习惯是
干完活再踏实休息
忙起来就把中间
要强制休息的时间
给忘了护士长看到我
半天都不去厨房休息
就跑到值班室过来问我米亚
你怎么还在忙呀
快点过来休息啊
现在是我们晚餐时间呢
你不休我还得想着
等会给你算加班工时
还得给你补休
他就直接把我踹到厨房
叫我赶紧跟他一起休息
还跟我说哎呀
干不完没关系
夜班两个人呢
实在不行
那就把这班的事情
留给下一班呢
护士长这么着急催我
不是我们俩玩的有多好
而是我不休息
是在给他添麻烦
德国有相关的护理职业法
规定
护士连续工作超过4个小时
必须要强制休息30分钟
不是自愿选择休不休
而是条件允许下必须休
我们按照时薪计算工资
任何超过规定工作时间的
工时都会有相应的报酬
如果医院没有及时的补偿
那医院就属于违法了
咱们护士如果想要举报医院
一告一个准
在德国对护士的保护
远大于对医院的保护"
5,抖音官号,2024-08-05,夜班,专职夜班,和大家说一下 德国专职夜班护士 今天是我的第6个夜班了 很多人都不理解 德国这边 怎么会有这么多的人 只想上夜班呢,"和大家说一下
德国专职夜班护士
今天是我的第6个夜班了
很多人都不理解
德国这边
怎么会有这么多的人
只想上夜班呢
可能就是以下几个原因
一德国夜班钱多货少
晚上基本上没有什么事情
就在这里熬时间
你可以离开科室
你可以在这里做饭
你可以刷手机
你可以看剧
都没有关系
税后的工资
至少有350的一个差距
第二个方便带孩子
有些家里有小孩子的
就是只上夜班
周末她老公休息
那她就可以上夜班
自己又有点收入了
还不会跟社会脱节
我们医院比较抠门
每年只有30个工作日的
带薪年假
但是我们医院有一个规定
你每上10个夜班
会给你多一天额外的年假
最最最重要的是
下了夜班之后
是可以放心
大胆的睡大觉的
没有任何的科室的开会
检查培训
评比你手机那一边关机
都没有问题
你的任务就是睡觉
把觉睡好了
你休息好了
才有精力来照顾咱们的病人
所以很多人就喜欢上夜班"
6,抖音官号,2024-08-06,休假病假,德国对怀孕的护士有多,德国对怀孕的护士 有多人性化 查出怀孕可以直接休产假 孕产假能按年计算 岗位为你保留 而且对应的还会有工资,"德国对怀孕的护士
有多人性化
查出怀孕可以直接休产假
孕产假能按年计算
岗位为你保留
而且对应的还会有工资
我在德国一家教会医院
护士只要查出怀孕
是必须要立刻休假的
在他们看来
怀孕还劳作搬砖
是对生命的不尊重
如果你怀孕了却还在上班
被护士长发现
就不会再给你排班了
必须强制性休息
我们科就有一个护士
她在上班的时候
自己在科室
做了一个早孕测试
发现哎两条杠怀孕了
转头就收拾东西回家了
是的你没听错
一查出怀孕就立马休假
而且一年孕产假带薪直接休
不过啊
不同医院规定略有不同
不是所有医院护士
怀孕就不用上班了
但是一般从你怀孕
到你生完孩子的第八个星期
都是会拿全新的
如果第八个星期之后
你还想在家继续带孩子
那么这时候
就只有工资的67%了
等你生完孩子一年后
回医院上班
一般也会给你一
两个周的过渡期
不会独立顶班
适应了之后再排正常的班
也可以申请医院的妈妈班
我们医院妈妈班
有两个时间段
从早上7点到12点
或者是
从早上8点到下午3点半
现在我们科室有21个护士
有3个护士都在上妈妈班"
7,抖音官号,2024-08-07,护士证路径,来自五湖四海的护士伙,来自五湖四海的护士伙伴 在海林未来相聚 海林未来和歌德联合教学 歌德的考官 就是日常的教学老师 会在歌德的考场自习打卡,"来自五湖四海的护士伙伴
在海林未来相聚
海林未来和歌德联合教学
歌德的考官
就是日常的教学老师
会在歌德的考场自习打卡
校园食堂
有7年德芙经验的蜜娅学姐
天津探班
有
和歌德一起举办的电影之夜
跟外教互动
通过游戏学会德语
在欢快美好的氛围中结课了
这6个月
是一场我们双向奔赴
最好的见证
今天有学员送来了锦旗
还有
颁发给班主任的男神证书
是伙伴的认可
更是激励
激励着海狸未来的不断前行
突破和成长
感谢大家选择海狸未来
欢迎大家从海狸未来
走向世界"
8,抖音官号,2024-08-07,工资收入,工资,德国护士月入两三万 还不知足 不断罢工要求涨薪 我在德国做护士7年了 已经遇到四 五次全国护士罢工 原因是德国护士,"德国护士月入两三万
还不知足
不断罢工要求涨薪
我在德国做护士7年了
已经遇到四
五次全国护士罢工
原因是德国护士
经常觉得自己的工资太低
付出得不到相应的回报
一对工资不满意
工会就组织人员一起去罢工
最后
都是以给护士涨薪结束的
从我17年来
德国护士最低工资
从2,500多欧
涨到现在的3,300多欧
时薪从10多欧涨到了23欧
涨薪是全国性质的
是会哭的孩子有糖吃
而是全国护士雨露均沾
不管小门诊还是顶级医院
只要是相同岗位
工资都差不多
看我们医院
实行的是卡黑塔斯的表
工资公开透明
在网上就能查到
没有绩效考核
没有科是TPI
护士工资按工龄职位自动涨
自愿进修或者是做专职护士
工资也会上涨
因为有集体工资协议的约束
要求护士
工资不能低于规定标准
如果医院低薪招护士
不但招不到人
还违反了法律"
9,抖音官号,2024-08-08,夜班,护士连上6个夜班中间,护士连上6个夜班 中间没有休 你会愿意上吗 在德国 护士这样连上夜班很常见 我最多 有连续上了7个夜班的 我和护长说了,"护士连上6个夜班
中间没有休
你会愿意上吗
在德国
护士这样连上夜班很常见
我最多
有连续上了7个夜班的
我和护长说了
7个是我的极限
再多就不行了
平时我们科室里
有3个全职的夜班护士
她们上6天休6天
上7天休7天的
所以很少会排到我来上夜班
我也是很想上的呀
朋友觉得
这样连上夜班太伤身了
其实我还挺喜欢上的
钱多活少嘛
一个夜班下来
合软妹币得有1,700多块了
而且每上10个夜班
还会有一天额外的年假
像我在心内科
28张病床
两个夜班护士
大多数的时候
除了摆第二天的液体
和三趟的病房巡视
没有别的什么事情了
很多时候都是八卦聊天"
10,抖音官号,2024-08-08,护士长,护理部怎么也想不到他,护理部怎么也想不到 他也有被护士拿捏的一天 在德国做护士7年多了 没有护理部压迫 这一点可以排进我的前三,"护理部怎么也想不到
他也有被护士拿捏的一天
在德国做护士7年多了
没有护理部压迫
这一点可以排进我的前三
爽我在德国杜塞尔多夫
一家教会医院
护理部只有正副主任两个人
他们的上班时间是8点-16点
平时很少能见到
因为护士除了日常工作
没有护理部查房
也没有护理部考试
没有技术考核
没有强制要求的夜查房
也不用被叫班
通教班
可以纹身染头戴首饰
不要求鞋袜
不规定发型
在能护理好病人的基础上
怎么打扮都可以
护理部根本不care
想召唤护理部
除非是你工作受委屈了
护理部立马出直接棒砸
解决问题
我们经常调侃
护理部暴改保卫科
在德国护士遇到困难
被患者刁难
或者是辱骂的时候
如果护理部没有及时帮助
护士
那是有权去工会投诉他们的
工会会给护士撑腰
那些年淋过的雨
现在终于有人撑起一把伞了"
11,抖音官号,2024-08-09,护士证路径,中国护士去德国做护士,中国护士 去德国做护士的保姆级教程 我先把申请条件摆在这里 大家对号入座哈 如果你在国内是护士 不需要考德国的护士证,"中国护士
去德国做护士的保姆级教程
我先把申请条件摆在这里
大家对号入座哈
如果你在国内是护士
不需要考德国的护士证
可以做中德护士证的互认
这个比考德国护士证
要简单很多
大大缩短了
你拿到德国护证的时间
你需要做的学习德语到B1
同时做德国护士证互认
在国内面试拿到合同
办公签到德国
到了德国通过认证拿到B2
获取德国护士证
要求是大专及以上学历
承认非全日制学历
有国内护士证
年龄小于40岁
如果年龄超过40岁
是不能走雇主父母途径
需要我们结合情况详细评估
如果你在国内不是护士
可以通过双元制职业培训
做护士或者读其他专业
直接拿到德国技龙证书
在德国工作
你需要做的学习德语到B1
在国内面试拿到合同
到了德国拿到B2
入学要求是高中及以上学历
年龄小于30岁"
12,抖音官号,2024-08-09,休假病假,病假,家人们护士请病假 这是我听过最最奇葩的理由 我同事竟然跟家庭医生说 他想家想的不行 必须要休病假 我听完真的是大无语,"家人们护士请病假
这是我听过最最奇葩的理由
我同事竟然跟家庭医生说
他想家想的不行
必须要休病假
我听完真的是大无语
我在德国离家这么远
我也没请过想家的病假呀
这到底是谁研究的
思乡过度就能请病假
回家好好休息
而且是带薪休息
百全先休
万恶的资本主义
虽然每种病都能休6周
但还是不建议
咱们新手期的护士们
就这么做哈
毕竟刚入职就休长病假
也有可能是会被嫌弃的
如果真的生病了
护士长从来不会为难护士
甚至呀
逼着护士赶紧回家去休息
别传染给其他同事
3天以内的小病
直接给科室人打电话
说自己病了就OK了
超过3天
就要找家庭医生开假条
上交假条直接休
不用告诉护士长
生的是什么病
也不会有人打听
就像我们病假条上都是代码
这也是为了保护
每一个人的隐私"
13,抖音官号,2024-08-10,休假病假,一个病区28张病床2,一个病区 28张病床 21个固定护士是种什么体验 在德国 互换比是有严重规定的 超出规定 医院就会被罚钱,"一个病区
28张病床
21个固定护士是种什么体验
在德国
互换比是有严重规定的
超出规定
医院就会被罚钱
所以科室锁病床
找兼职是常事
我在都在的
一家教会医院的心内科
28张病床
21个固定护士
还有若干个护士助理
和和护
理学生医院不会加床
也很少有六七十张病床的
大科室即使是这样
也经常达不到规定的互换比
遇到同事度假旅游
休病假的情况
人手不够
医院就直接锁病床
护士工资
不受病人多少的影响
德国医院也没有绩效的概念
没有病人
护士也照样拿工资
这是德国规定的互换比例
看看你的科室
在德国
护士都负责多少病人呢"
14,抖音官号,2024-08-12,休假病假,坦白了友友们出国做护,坦白了友友们 出国做护士真的发不了财 很多人觉得到国外做护士 年入大几十万 工作几年后吃喝不愁 不要以为出国了就发财了,"坦白了友友们
出国做护士真的发不了财
很多人觉得到国外做护士
年入大几十万
工作几年后吃喝不愁
不要以为出国了就发财了
实际上护士在哪个国家
都是中等收入
赚不到什么大钱
我在德国做护士7年了
每个月税后到手工资
3,000欧左右
合2万多人民币
去房租日常开销
一个月也就最多攒1,500欧
也就是1.2个w
干的越多
就挣的越多
第二 50%的小伙伴
可能适应不了德国的生活
因为实在是太无聊了
尤其近几年
咱们国内发展的越来越好
显得德国就更没有意思了
没有便宜准时的外卖和快递
也没有遍地的美食夜市
甚至呀周末的商场和超市
都供休歇业
很多朋友说
忙起来在哪都一样
哪有时间去玩呀
但在德国
各行各业
每年至少有26-30天的年假
一年中的一半时间
都是在休息
让你闲得发慌
我个人觉得
世界上没有十全十美的国家
在哪里生活
都不会适合所有的人
想出国那一定要考虑清楚
给自己试错的机会
也要给自己留条后路"
15,抖音官号,2024-08-12,夜班,一个还没有过试用期的,一个 还没有过试用期的新护士 强硬拒绝了护士长的排班 结局会怎么样呢 姐妹们 我们科室新来的00后护士,"一个
还没有过试用期的新护士
强硬拒绝了护士长的排班
结局会怎么样呢
姐妹们
我们科室新来的00后护士
直接给我上了一课
医院的新护士
试用期是6个月
前3个月
会有老护士带着上班
她一直表现不错
3个月之后
终于也可以自己顶班了
她却跟我们护士长说长
你在排班的时候
不要给我排夜班呀
我不想熬夜
之前
跟老护士上的那两个夜班
我白天根本都没有怎么睡觉
上班状态可差了
真的是惊呆我了
如果是我
刚到一个新的医院上班
作为新人
还没转正
肯定是唯命是从
好好表现了
虽然拒绝护士长排班
是德国护士的权利
但他这么直接
还真的是让我没有想到
德过护士的上班时间
班次都可以自由选择
全职兼职上白班
还是只上夜班
只要提前向护士长申请就OK
甚至
在最开始的求职面试环节
就可以提出申请
不强制不PK
不会被穿小鞋
职场相对也很简单
跟外国人
相处共事打直球
有什么说什么
只对事不对人
没有那些弯弯绕绕
这样的职场
这样的护士和这样的护士长
你觉得怎么样呢"
16,抖音官号,2024-08-13,夜班,外行人都说学习不好才,外行人都说 学习不好才当护士 现实却是 好点的医院招护士 至少本科学历起步 一个名额百十个人抢着面试,"外行人都说
学习不好才当护士
现实却是
好点的医院招护士
至少本科学历起步
一个名额百十个人抢着面试
学历高能力强的遍地都是
如果这些中国护士来德国
简直断层碾压
个个优秀又抢手
我在德国做护士7年
身边90%的护士
都没有上过大学
而是职业培训出来的
所用所学
没有一点学历浪费
培训期间医院发工资
每个月到手1,000多欧
和8,000多人民币
拿到护士证
不会再有考试考核职称评比
正式护士月落2万多
每年30天带薪年假
150多天假期
很多护士为了多休息多赚钱
做专职夜班护士
夜班补贴高
上满10个夜班
一天的年假
每年比普通护士
能多休好几天
德国人太轴了
一根筋但好处是简单直接
护士和医院看对眼
就立刻拿下
入职不用找人托关系
一样也能找到好的工作
所谓的累卷压力大
至少在护士界是不存在的
我的同事
每年都会忙着去各国度假
因为假期不休完
又怕被护士长骂了"
17,抖音官号,2024-08-14,权益加班,在德国医院心内科做护,在德国医院心内科做护士 我们科室一共有28张病床 21个固定护士 再加3个护士助理 和护士学生 早班至少5个护士,"在德国医院心内科做护士
我们科室一共有28张病床
21个固定护士
再加3个护士助理
和护士学生
早班至少5个护士
晚班4个护士
夜班两个护士
有严格的互换比
不多受病人不加床
相反护士人手紧缺
科室还会锁病床
因为
如果超出规定的互换比例
医院就会被罚钱
这是我们的排班
n是夜班
f是早班
s是晚班
夜班10个小时
其他班次7.7个小时
除了倒班的护士
我们还有秘书
负责病人出入院的管理
检查护理记录等
如果有病人需要做心电图
抽血检查或者是手术
也有专门的岗位人来负责
所以护士职责划分的特别细
我们科有专职夜班护士
所以我可能隔一
个月才能抢到
夜班上
我倒是希望多排我几个
德国护士
不能超时超负荷工作
什么班次做什么活
没有考试
没有检查
休息时间没人管你在干嘛"
18,抖音官号,2024-08-14,夜班,德国护士长这样给护士,德国护士长这样给护士排班 也太好了吧 一般来说只有三班倒 早班晚班跟夜班 早班的话 是从早上6点到下午的2点,"德国护士长这样给护士排班
也太好了吧
一般来说只有三班倒
早班晚班跟夜班
早班的话
是从早上6点到下午的2点
12班的话
中午的 2:48到晚上的9点
夜班的话
是晚上8点半到早上的6点半
可以大家自愿申请的
想哪天上什么班次
提前跟你的护士长说
一般护士长都会答应你的
那重要节日怎么排班呢
过年过节的排班
也是我们护士自己定
在节假日上班的话
我们科室也有一个
特别好个规定
重要日子的话
我们就许愿排班
圣诞节啊
元旦节啊
复活节啊
护士长提前把许愿表贴出来
你自己填
你想哪天上班
按照我们自己的意愿
给我们排班"
19,抖音官号,2024-08-15,权益加班,我发现德国护士最大的,我发现 德国护士最大的好处 就是可以不用做全职 一周只上两三天班 想想就挺幸福的 两三天班就算再忙再累 一会儿就过去了,"我发现
德国护士最大的好处
就是可以不用做全职
一周只上两三天班
想想就挺幸福的
两三天班就算再忙再累
一会儿就过去了
关键是啊
我们科上10天班
也不一定赶上一天忙的
我在德国医院心内科护士
想上什么班
上不上夜班
都是自己决定
一个月上4天6天8天都可以
想上啥班直接许愿
护士长会提前安排
尽量按护士的愿望排班
德国本土人
很少有为了多赚钱
熬夜班三班倒的
大多数都是做兼职
他们认为没有必
要为了工作
而牺牲自己的时间和生活
德国护士工资按小时算
时薪23欧
像我每周工作38.5个小时
一周能赚800多欧
和7,000多人民币
上多少班赚多少钱
付出和回报成正比
我在普通心内科
每个班次7.7个小时
夜班10个小时
医院要求
护士工作超过6个小时
要强制休息30分钟
交接班
换衣服都算作工作时间
从踏进医院起就开始拿工资
没有考试检查
没有护理部考核抽查
护士完成好自己的工作
是第一标准
不分编制和童工
大家都是同等待遇
很多朋友说
这种医院一定很难考进吧
其实并不会
这些
都是德国医院的基本操作"
20,抖音官号,2024-08-15,权益加班,我发现德国护士最大的,我发现 德国护士最大的好处 就是可以不用做全职 一周只上两三天班 想想就挺幸福的 两三天班就三 再忙再累一会儿就过去了,"我发现
德国护士最大的好处
就是可以不用做全职
一周只上两三天班
想想就挺幸福的
两三天班就三
再忙再累一会儿就过去了
关键是我们科上10天班
也不一定赶上一天忙的
我在德国医院心内科
护士想上什么班
上不上夜班都是自己决定
一个月上4天6天8天都可以
想上啥班直接许愿
护士长会提前安排
尽量按护士的愿望排班
德国本土人
很少有为了多赚钱
熬夜班三班倒的
大多数都是做兼职
他们认为
没有必要为了工作
牺牲自己的时间和生活
德国护士工资按小时算
时薪23欧
我每周工作38.5个小时
一周能赚800多欧
7,000多人民币
上多少班赚多少钱
付出和回报成正比
我在普通心内科
每个班次7.7个小时
夜班10个小时
护士工作超过6个小时
要强制休息30分钟
交接班
换衣服都算作工作时间
从踏进医院起
就开始拿工资
没有考试检
查没有护理部考核抽查
护士完成好自己的工作
是第一标准
不分编制
不同工大家都是同等待遇
很多朋友说
这种医院一定很难考进吧
其实并不会
这些
都是德国医院的基本操作"
21,抖音官号,2024-08-16,护士长,护士长临时交换班额外,护士长临时交换班 额外给500多的奖金 你愿意吗 昨天一早 护士长给我发来信息 因为科室的人手不够,"护士长临时交换班
额外给500多的奖金
你愿意吗
昨天一早
护士长给我发来信息
因为科室的人手不够
问我能不能把周五的早班
改成晚班
会有额外的奖金
像我们医院
临时换班或者是替班
每个小时额外补贴10欧
一个班次7.7个小时
也就是77欧
合500多的人民币
不过
我已经和朋友约好出去玩了
就直接拒绝了他
在德国就是这样
需要人手替换班
护士长就会提前和大家商量
如果护士不愿意
那就直接拒绝"
22,抖音官号,2024-08-17,夜班,在德国护士夜班都做些,在德国 护士夜班都做些什么呢 我们夜班是10个小时 从晚上的8:24到早上的6:36 我在心内科 一共28张病床,"在德国
护士夜班都做些什么呢
我们夜班是10个小时
从晚上的8:24到早上的6:36
我在心内科
一共28张病床
为什么护士人手不够
最多只能收到22个病人
今天我们两个护士夜班
上完班快9点了
开始第一趟的巡视
治疗多数都是安排在白天
晚上就让病人好好的休息
所以
晚上我们最多最多巡视三趟
第一趟巡视完把
第二天早中
晚三次要用的药都摆好
然后简单的写一下护理记录
快12点巡视第二趟
我一般会进病房看一下
巡视全程5分钟搞定
二趟巡视完
就可以好好休息了
能直接休息到4点多4:20了
把早上要输的液配一下
再核对核对口服药
干完这些也就快5点了
最后巡视一趟
顺便把药发了
5:20就全部完事了
坐等交班
我们交班不用去床旁交班
也不用交接耗材
干活两小时
摸鱼一整夜
这就是我夜班的所有工作
这样的夜班你们"
