video_id,account,publish_date,publish_time,topic_category,topic_angle,format,hook_text,hook_model,duration_seconds,word_count,views,retention_5s,completion_rate,like_count,comment_count,share_count,favorite_count,like_rate,share_rate,performance_tier,pillars_used,is_repeat,has_script,video_url,video_title,is_hidden,notes
1,抖音官号,2024-08-01,17:25,工资收入,今天看到一条很让我伤,口播,今天 看到一条很让我伤心的消息 有一名护士跳湖自尽了 疑似是被职场霸凌 她才只有26岁 和我一样大 本该有大好的未来,其他,72,382,37255,34.4,3.47,282,17,131,,0.76,0.35,C,,FALSE,TRUE,,,否,
2,抖音官号,2024-08-02,17:24,其他,医院里的每个规定验证,口播,医院里的每个规定验证码 都是血的教训啊 今天有个病人在说 我们偷了他的裤子 是个老头子 住院有阵子了 没有亲戚朋友,其他,43,253,17068,38.68,14.36,78,4,7,,0.46,0.04,C,,FALSE,TRUE,,,否,
3,抖音官号,2024-08-03,17:00,其他,,口播,,无明确模型,69,,32595,46.25,15.98,192,4,48,,0.59,0.15,C,,FALSE,FALSE,,,是,格式默认口播，需确认
4,抖音官号,2024-08-04,17:00,权益加班,今天被我们护士长说了,口播,今天被我们护士长说了 他还直接把我推出了科室 原因竟然是说 我上班的时候不知道去休息 下班了还不着急走 我在心内科今,A_反常识,89,473,122950,55.25,12.58,818,86,1121,,0.67,0.91,A,P1,FALSE,TRUE,,,否,
5,抖音官号,2024-08-05,19:06,夜班,专职夜班,口播,和大家说一下 德国专职夜班护士 今天是我的第6个夜班了 很多人都不理解 德国这边 怎么会有这么多的人 只想上夜班呢,无明确模型,57,329,38472,35.7,14.41,183,35,52,,0.48,0.14,C,,FALSE,TRUE,,,否,
6,抖音官号,2024-08-06,18:09,休假病假,德国对怀孕的护士有多,口播,德国对怀孕的护士 有多人性化 查出怀孕可以直接休产假 孕产假能按年计算 岗位为你保留 而且对应的还会有工资,其他,73,398,38904,44.46,13.07,158,20,67,,0.41,0.17,C,P2,FALSE,TRUE,,,否,
7,抖音官号,2024-08-07,14:05,护士证路径,来自五湖四海的护士伙,口播,来自五湖四海的护士伙伴 在海林未来相聚 海林未来和歌德联合教学 歌德的考官 就是日常的教学老师 会在歌德的考场自习打卡,其他,45,201,8181,28.3,2.83,35,0,0,,0.43,,D,,FALSE,TRUE,,,否,
8,抖音官号,2024-08-07,18:21,工资收入,工资,口播,德国护士月入两三万 还不知足 不断罢工要求涨薪 我在德国做护士7年了 已经遇到四 五次全国护士罢工 原因是德国护士,B_数字冲击,60,300,43474,44.03,16.27,284,46,159,,0.65,0.37,C,"P17,P23",FALSE,TRUE,,,否,
9,抖音官号,2024-08-08,12:14,夜班,护士连上6个夜班中间,口播,护士连上6个夜班 中间没有休 你会愿意上吗 在德国 护士这样连上夜班很常见 我最多 有连续上了7个夜班的 我和护长说了,其他,39,226,77039,44.91,27.7,271,36,270,,0.35,0.35,B,P1,FALSE,TRUE,,,否,
10,抖音官号,2024-08-08,17:51,护士长,护理部怎么也想不到他,口播,护理部怎么也想不到 他也有被护士拿捏的一天 在德国做护士7年多了 没有护理部压迫 这一点可以排进我的前三,其他,63,303,35150,46.43,13.21,217,14,115,,0.62,0.33,C,"P20,P23,P28",FALSE,TRUE,,,否,
11,抖音官号,2024-08-09,11:55,护士证路径,中国护士去德国做护士,口播,中国护士 去德国做护士的保姆级教程 我先把申请条件摆在这里 大家对号入座哈 如果你在国内是护士 不需要考德国的护士证,F_假设反推,46,291,31525,41.98,9.8,286,33,124,,0.91,0.39,C,,FALSE,TRUE,,,否,
12,抖音官号,2024-08-09,18:20,休假病假,病假,口播,家人们护士请病假 这是我听过最最奇葩的理由 我同事竟然跟家庭医生说 他想家想的不行 必须要休病假 我听完真的是大无语,A_反常识,55,291,21710,42.19,12.59,99,10,20,,0.46,0.09,C,P13,FALSE,TRUE,,,否,
13,抖音官号,2024-08-10,17:00,休假病假,一个病区28张病床2,口播,一个病区 28张病床 21个固定护士是种什么体验 在德国 互换比是有严重规定的 超出规定 医院就会被罚钱,其他,38,223,22982,34.73,8.23,115,19,61,,0.5,0.27,C,"P1,P2",FALSE,TRUE,,,否,
14,抖音官号,2024-08-12,08:00,休假病假,坦白了友友们出国做护,口播,坦白了友友们 出国做护士真的发不了财 很多人觉得到国外做护士 年入大几十万 工作几年后吃喝不愁 不要以为出国了就发财了,其他,68,339,28193,47.53,14.69,177,25,55,,0.63,0.2,C,"P11,P15,P23",FALSE,TRUE,,,否,
15,抖音官号,2024-08-12,17:37,夜班,一个还没有过试用期的,口播,一个 还没有过试用期的新护士 强硬拒绝了护士长的排班 结局会怎么样呢 姐妹们 我们科室新来的00后护士,其他,65,368,35690,50.82,10.86,231,25,24,,0.65,0.07,C,,FALSE,TRUE,,,否,
16,抖音官号,2024-08-13,18:22,夜班,外行人都说学习不好才,口播,外行人都说 学习不好才当护士 现实却是 好点的医院招护士 至少本科学历起步 一个名额百十个人抢着面试,C_共情痛点,65,323,53142,54.44,11.65,304,58,242,,0.57,0.46,B,"P11,P23",FALSE,TRUE,,,否,
17,抖音官号,2024-08-14,12:34,权益加班,在德国医院心内科做护,口播,在德国医院心内科做护士 我们科室一共有28张病床 21个固定护士 再加3个护士助理 和护士学生 早班至少5个护士,其他,54,283,446229,39.4,16.26,1789,245,3215,,0.4,0.72,A,"P1,P2,P3,P7,P20,P28",FALSE,TRUE,,,否,
